campaign,date,device,network,cost,impressions,clicks,conversions,created_at,account_id
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-01-31,Mobile devices with full browsers,Search Network,1631730000,64,5,1,2022-02-10 18:36:42.309489,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-01-31,Mobile devices with full browsers,Search Network,1631730000,64,5,,2022-02-08 10:05:52.622021,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-02-08,Computers,Search Network,291680000,15,1,,2022-02-08 10:05:52.622021,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-02-08,Computers,Search Network,408500000,36,3,,2022-02-18 18:35:24.303589,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-02-08,Mobile devices with full browsers,Search Network,1482640000,16,5,,2022-02-08 10:05:52.622021,488-987-9233
Runwal Sanctuary Search Brand 2401 #5fc|5pw-search_ri_brand_alt,2022-02-08,Mobile devices with full browsers,Search Network,2773120000,35,9,,2022-02-18 18:35:24.303589,488-987-9233
Durga Petals #3a3|3gg-search_ri,2021-10-04,Mobile devices with full browsers,Search Network,4188810000,120,17,5,2022-04-14 11:19:23.153652,569-073-8209
Durga Petals #3a3|3gg-search_ri,2021-10-04,Mobile devices with full browsers,Search Network,4188810000,120,17,4,2021-10-14 18:34:08.528662,569-073-8209
Sobha HRC Pristine #5o1|5yu-search_ri,2022-03-05,Mobile devices with full browsers,Display Network,552673528,4560,27,,2022-04-14 11:19:23.153652,569-073-8209
Sobha HRC Pristine #5o1|5yu-search_ri,2022-03-05,Mobile devices with full browsers,Display Network,552673528,4570,27,,2022-03-15 18:34:08.459692,569-073-8209
Ṧőbha Lake Garden #16j|18q-search_ri_sobha_lakegardens,2022-03-06,Mobile devices with full browsers,Display Network,351274859,4678,19,1,2022-04-14 11:19:23.153652,569-073-8209
Ṧőbha Lake Garden #16j|18q-search_ri_sobha_lakegardens,2022-03-06,Mobile devices with full browsers,Display Network,356724973,4678,20,1,2022-03-16 18:34:07.453146,569-073-8209
PK_Balewadi - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,283920000,22,1,,2019-07-20 23:35:05.149775,580-510-0831
PK_Balewadi - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,,7,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Balewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,383050000,26,1,,2019-07-20 23:35:05.149775,580-510-0831
PK_Balewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,,1,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-07,Mobile devices with full browsers,Search Network,1927450000,79,16,2,2019-07-17 23:34:58.100410,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-07,Mobile devices with full browsers,Search Network,1927450000,79,16,1,2019-07-10 07:35:22.931589,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,795590000,24,5,,2019-07-20 23:35:05.149775,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,417380000,7,2,,2019-07-10 07:35:22.931589,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,434910000,19,6,,2019-07-10 07:35:22.931589,580-510-0831
PK_Brand - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,573200000,49,7,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-09,Computers,Display Network,,971,,,2019-07-19 23:35:17.687403,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-09,Computers,Display Network,,973,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Computers,Display Network,,386,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Computers,Display Network,16498064,791,1,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,1901290000,85,5,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,843370000,42,2,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Display Network,54780813,534,3,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Display Network,97343933,1751,5,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,3210120000,151,12,,2019-07-20 23:35:05.149775,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,1411500000,42,5,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Tablets with full browsers,Display Network,,1,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Hinjewadi - BMM - #search_ri_melange,2019-07-10,Tablets with full browsers,Display Network,,9,,,2019-07-20 23:35:05.149775,580-510-0831
PK_Tathawade - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,,7,,,2019-07-20 23:35:05.149775,580-510-0831
PK_Tathawade - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,,2,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Wakad - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,,57,,,2019-07-20 23:35:05.149775,580-510-0831
PK_Wakad - BMM - #search_ri_melange,2019-07-10,Computers,Search Network,,21,,,2019-07-10 07:35:22.931589,580-510-0831
PK_Wakad - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,750360000,35,2,,2019-07-10 07:35:22.931589,580-510-0831
PK_Wakad - BMM - #search_ri_melange,2019-07-10,Mobile devices with full browsers,Search Network,1983050000,97,6,,2019-07-20 23:35:05.149775,580-510-0831
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,7189857850,116748,940,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,7190747472,116748,941,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,990249443,32441,244,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,991246008,32444,245,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-24,Computers,Display Network,81514195,5012,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-24,Computers,Display Network,81514195,5014,4,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-24,Mobile devices with full browsers,Display Network,958966942,30652,251,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-24,Mobile devices with full browsers,Display Network,958966942,30645,251,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-25,Computers,Display Network,31314745,5512,3,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-25,Computers,Display Network,31314745,5517,3,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-25,Mobile devices with full browsers,Display Network,1039133701,31080,228,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-25,Mobile devices with full browsers,Display Network,1039133701,31083,228,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-25,Tablets with full browsers,Display Network,60473616,497,3,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-25,Tablets with full browsers,Display Network,60473616,494,3,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-26,Computers,Display Network,4987111,4096,1,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-26,Computers,Display Network,4987111,4101,1,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,994427193,26417,200,2,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,994427193,26427,200,2,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-27,Computers,Display Network,153074198,7196,8,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-27,Computers,Display Network,,949,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,524574615,10832,82,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,1891780496,68323,361,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,15561079,818,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity - Avid Investors - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,,183,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-24,Mobile devices with full browsers,Display Network,4004928218,13018,4126,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-24,Mobile devices with full browsers,Display Network,4004928218,13019,4126,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-25,Mobile devices with full browsers,Display Network,5705745308,12482,3457,3,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-25,Mobile devices with full browsers,Display Network,5705745308,12482,3457,2,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-26,Mobile devices with full browsers,Display Network,4574084876,8720,3053,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-26,Mobile devices with full browsers,Display Network,4569643225,8721,3052,1,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-27,Computers,Display Network,864932907,5208,508,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-27,Computers,Display Network,758047765,4706,439,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-27,Mobile devices with full browsers,Display Network,3925513758,11798,2831,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-27,Mobile devices with full browsers,Display Network,4441716871,13225,3383,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-27,Tablets with full browsers,Display Network,13836094,36,13,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Affinity GSP - #gsp_ri,2019-06-27,Tablets with full browsers,Display Network,8673287,34,11,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Brand - BMM - #search_ri,2019-06-25,Mobile devices with full browsers,Search Network,14264490000,219,87,6,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Brand - BMM - #search_ri,2019-06-25,Mobile devices with full browsers,Search Network,14264490000,219,87,5,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Brand - BMM - #search_ri,2019-06-26,Computers,Search Network,4626370000,120,27,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Brand - BMM - #search_ri,2019-06-26,Computers,Search Network,4626370000,120,27,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Brand - BMM - #search_ri,2019-06-27,Computers,Search Network,4645050000,134,23,3,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Brand - BMM - #search_ri,2019-06-27,Computers,Search Network,404900000,12,2,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Brand - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,2470110000,53,15,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Brand - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,6003770000,132,39,2,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Chembur - BMM - #search_ri,2019-06-27,Computers,Search Network,4351490000,333,14,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Chembur - BMM - #search_ri,2019-06-27,Computers,Search Network,404790000,71,2,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Chembur - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,4689350000,220,18,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Chembur - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,8612690000,633,36,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Chembur - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,212640000,18,1,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Chembur - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,,6,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Cuffe Parade - BMM - #search_ri,2019-06-27,Computers,Search Network,,9,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Cuffe Parade - BMM - #search_ri,2019-06-27,Computers,Search Network,,2,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Cuffe Parade - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,,4,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Cuffe Parade - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,43050000,23,1,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,10714434632,152320,1460,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,10715183556,152320,1461,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-21,Computers,Display Network,215217156,8838,9,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-21,Computers,Display Network,215217156,8839,9,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-21,Mobile devices with full browsers,Display Network,2894343464,61540,753,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-21,Mobile devices with full browsers,Display Network,2894343464,61541,753,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-22,Mobile devices with full browsers,Display Network,2846888452,57018,885,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-22,Mobile devices with full browsers,Display Network,2846888452,57019,885,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-23,Computers,Display Network,100590642,3308,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-23,Computers,Display Network,100590642,3309,4,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,2829194500,85736,872,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,2829194500,85740,872,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-24,Computers,Display Network,106662558,10343,5,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-24,Computers,Display Network,106662558,10344,5,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-24,Mobile devices with full browsers,Display Network,3075400605,76693,723,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-24,Mobile devices with full browsers,Display Network,3075400605,76704,723,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-25,Computers,Display Network,261585690,8864,10,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-25,Computers,Display Network,261585690,8871,10,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-25,Mobile devices with full browsers,Display Network,2785842242,61582,605,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-25,Mobile devices with full browsers,Display Network,2785842242,61585,605,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-26,Computers,Display Network,230474328,8908,11,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-26,Computers,Display Network,232735718,8917,12,1,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,2716195299,72202,543,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,2709394999,72224,541,1,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-27,Computers,Display Network,174275719,11360,10,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-27,Computers,Display Network,36965217,2280,3,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-27,Devices streaming video content to TV screens,Display Network,,4,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-27,Devices streaming video content to TV screens,Display Network,,14,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,3624713112,101889,715,4,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,1430125572,29302,276,2,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,,292,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Competitors - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,34236242,744,6,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,11501928241,151608,1464,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,11503363240,151608,1465,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-20,Mobile devices with full browsers,Display Network,6870872981,84200,792,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-20,Mobile devices with full browsers,Display Network,6871133218,84200,793,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,927139238,29140,293,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,927139238,29141,293,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-25,Computers,Display Network,28344438,3631,1,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-25,Computers,Display Network,28344438,3634,1,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-26,Computers,Display Network,58265612,3026,3,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-26,Computers,Display Network,82976657,3027,4,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,928788392,20792,191,,2019-06-27 06:35:50.738213,581-851-4648
