campaign,date,device,network,cost,impressions,clicks,conversions,created_at,account_id
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,925562208,20789,189,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-27,Computers,Display Network,195121532,2821,5,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-27,Computers,Display Network,,767,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,375673616,8693,69,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,810867204,20874,156,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,,148,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Finance Portals - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,,87,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,957652911,21659,192,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,957652911,21660,192,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-25,Computers,Display Network,40590499,2797,1,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-25,Computers,Display Network,40590499,2800,1,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-25,Mobile devices with full browsers,Display Network,988998647,21930,176,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-25,Mobile devices with full browsers,Display Network,988998647,21926,176,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-26,Computers,Display Network,64730313,3410,3,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-26,Computers,Display Network,64730313,3414,3,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,958240539,19039,164,1,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,958240539,19025,164,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-27,Computers,Display Network,154847044,8974,6,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-27,Computers,Display Network,41127291,718,1,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,458663553,6089,67,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,4673707044,128888,758,3,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,15046932,626,5,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - In Market - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,3800676,52,2,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,7664469808,68763,1003,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,7666688147,68763,1004,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-20,Mobile devices with full browsers,Display Network,7055223017,88066,788,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-20,Mobile devices with full browsers,Display Network,7055223017,88066,788,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-20,Tablets with full browsers,Display Network,219721139,1016,13,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-20,Tablets with full browsers,Display Network,219721139,1016,13,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-24,Computers,Display Network,65196326,5224,2,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-24,Computers,Display Network,65196326,5225,2,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-24,Mobile devices with full browsers,Display Network,987064477,26688,281,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-24,Mobile devices with full browsers,Display Network,987064477,26685,281,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-25,Computers,Display Network,64964300,5084,2,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-25,Computers,Display Network,64964300,5087,2,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-25,Mobile devices with full browsers,Display Network,963260278,23947,222,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-25,Mobile devices with full browsers,Display Network,963260278,23946,222,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-26,Computers,Display Network,115048444,3263,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-26,Computers,Display Network,115048444,3268,4,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,889957740,20271,191,4,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-26,Mobile devices with full browsers,Display Network,889957740,20283,191,4,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-27,Computers,Display Network,130082035,11470,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-27,Computers,Display Network,,1293,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,3103915620,116244,615,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,588075988,11326,107,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,,173,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - News Portals - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,166571532,1162,14,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-19,Computers,Display Network,120336945,3050,6,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-19,Computers,Display Network,131850570,3050,7,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,7364363999,71571,961,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-19,Mobile devices with full browsers,Display Network,7377433374,71571,962,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-20,Mobile devices with full browsers,Display Network,7213131519,78874,708,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-20,Mobile devices with full browsers,Display Network,7236556019,78874,710,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,978362276,28605,261,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-23,Mobile devices with full browsers,Display Network,978362276,28606,261,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-24,Computers,Display Network,99434046,5048,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-24,Computers,Display Network,99434046,5051,4,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-24,Mobile devices with full browsers,Display Network,914993368,26334,270,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-24,Mobile devices with full browsers,Display Network,914993368,26333,270,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-24,Tablets with full browsers,Display Network,44312299,444,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-24,Tablets with full browsers,Display Network,44312299,445,4,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-25,Computers,Display Network,119569282,4564,3,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-25,Computers,Display Network,119569282,4559,3,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-26,Computers,Display Network,65738760,2807,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-26,Computers,Display Network,65738760,2809,4,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-27,Computers,Display Network,10629964,3291,1,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-27,Computers,Display Network,10629964,964,1,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-27,Devices streaming video content to TV screens,Display Network,,9,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-27,Devices streaming video content to TV screens,Display Network,,12,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,918008712,21380,171,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-27,Mobile devices with full browsers,Display Network,489679614,9143,89,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,34108862,109,1,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Custom Affinity - Property Portals - #gdn_ri,2019-06-27,Tablets with full browsers,Display Network,36064291,195,2,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Dadar - BMM - #search_ri,2019-06-27,Computers,Search Network,1154400000,245,6,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Dadar - BMM - #search_ri,2019-06-27,Computers,Search Network,472860000,49,2,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Dadar - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,2207300000,163,10,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Dadar - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,3437170000,595,17,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Dadar - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,,12,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Dadar - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,,2,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Ghatkopar - BMM - #search_ri,2019-06-27,Computers,Display Network,,150,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Ghatkopar - BMM - #search_ri,2019-06-27,Computers,Display Network,,22,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Ghatkopar - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Display Network,,333,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Ghatkopar - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Display Network,,58,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Ghatkopar - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,,1,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Ghatkopar - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,,7,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Ghatkopar - BMM - #search_ri,2019-06-27,Tablets with full browsers,Display Network,,4,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Ghatkopar - BMM - #search_ri,2019-06-27,Tablets with full browsers,Display Network,,1,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-25,Mobile devices with full browsers,Display Network,4111878860,8951,2502,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-25,Mobile devices with full browsers,Display Network,4111878860,8952,2502,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-26,Computers,Display Network,1951914400,6478,894,2,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-26,Computers,Display Network,1951914400,6479,894,2,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-26,Mobile devices with full browsers,Display Network,3379552701,7886,2145,3,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-26,Mobile devices with full browsers,Display Network,3385516229,7885,2147,3,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-27,Computers,Display Network,2344236267,8703,827,4,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-27,Computers,Display Network,571405435,2802,229,2,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-27,Mobile devices with full browsers,Display Network,1265959955,4424,1070,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-27,Mobile devices with full browsers,Display Network,3343724967,13004,3113,3,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-27,Tablets with full browsers,Display Network,27540141,46,15,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - In Market GSP - #gsp_ri,2019-06-27,Tablets with full browsers,Display Network,17559935,21,10,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Kurla - BMM - #search_ri,2019-06-27,Computers,Search Network,,40,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Kurla - BMM - #search_ri,2019-06-27,Computers,Search Network,,8,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Kurla - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,460660000,67,5,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Kurla - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,850340000,176,13,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Kurla - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,,3,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Kurla - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,,2,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Mahim - BMM - #search_ri,2019-06-27,Computers,Search Network,716790000,67,2,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Mahim - BMM - #search_ri,2019-06-27,Computers,Search Network,658360000,18,1,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Mahim - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,134890000,63,1,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Mahim - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,716460000,192,4,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Mahim - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,,5,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Mahim - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,,2,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - vikhroli - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Display Network,,2,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - vikhroli - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Display Network,,1,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - vikhroli - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,,2,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - vikhroli - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,,9,,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Wadala - BMM - #search_ri,2019-06-27,Computers,Search Network,672110000,118,1,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Wadala - BMM - #search_ri,2019-06-27,Computers,Search Network,,25,,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Wadala - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,511590000,86,3,,2019-06-27 06:35:50.738213,581-851-4648
Anarock - Siddha Sky - Wadala - BMM - #search_ri,2019-06-27,Mobile devices with full browsers,Search Network,2433690000,294,15,1,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Wadala - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,230160000,7,2,,2019-09-04 10:48:39.779609,581-851-4648
Anarock - Siddha Sky - Wadala - BMM - #search_ri,2019-06-27,Tablets with full browsers,Search Network,,5,,,2019-06-27 06:35:50.738213,581-851-4648
Brand Terms BMM GCC #search_nri,2019-06-26,Computers,Search Network,688370000,26,3,,2020-08-04 10:31:45.619800,7106507666
Brand Terms BMM GCC #search_nri,2019-06-26,Computers,Search Network,326010000,17,2,,2019-06-26 12:35:31.124546,7106507666
Brand Terms BMM GCC #search_nri,2019-06-26,Mobile devices with full browsers,Search Network,545770000,14,1,,2019-06-26 12:35:31.124546,7106507666
Brand Terms BMM GCC #search_nri,2019-06-26,Mobile devices with full browsers,Search Network,650200000,20,3,,2020-08-04 10:31:45.619800,7106507666
Mumbai - BMM GCC #search_nri,2019-06-26,Computers,Search Network,4981080000,157,10,,2020-08-04 10:31:45.619800,7106507666
Mumbai - BMM GCC #search_nri,2019-06-26,Computers,Search Network,3835870000,115,8,,2019-06-26 12:35:31.124546,7106507666
Mumbai - BMM GCC #search_nri,2019-06-26,Mobile devices with full browsers,Search Network,1298830000,95,4,,2019-06-26 12:35:31.124546,7106507666
Mumbai - BMM GCC #search_nri,2019-06-26,Mobile devices with full browsers,Search Network,4133430000,152,10,,2020-08-04 10:31:45.619800,7106507666
Brigade Exotica #59m|5k1-search_ri,2022-01-04,Computers,Display Network,,310,,,2022-04-14 10:01:21.688757,929-088-1956
Brigade Exotica #59m|5k1-search_ri,2022-01-04,Computers,Display Network,,311,,,2022-01-14 18:37:11.642341,929-088-1956
Ḻ&Ṱ Ráintree Boulevárd Hebbal #5sn|64l-call_leads,2022-03-05,Mobile devices with full browsers,Display Network,364663398,8327,76,3,2022-04-14 10:01:21.688757,929-088-1956
Ḻ&Ṱ Ráintree Boulevárd Hebbal #5sn|64l-call_leads,2022-03-05,Mobile devices with full browsers,Display Network,364663398,8328,76,3,2022-03-15 18:34:20.201190,929-088-1956
Ḻ&Ṱ Ráintree Boulevárd Hebbal #5sn|64l-call_leads,2022-03-06,Mobile devices with full browsers,Display Network,166908552,3693,37,,2022-04-14 10:01:21.688757,929-088-1956
Ḻ&Ṱ Ráintree Boulevárd Hebbal #5sn|64l-call_leads,2022-03-06,Mobile devices with full browsers,Display Network,166908552,3694,37,,2022-03-16 18:34:16.892403,929-088-1956
Shriram WYT Field #381|3ec-search_ri,2022-03-06,Mobile devices with full browsers,Display Network,774300149,15119,49,,2022-04-14 10:01:21.688757,929-088-1956
Shriram WYT Field #381|3ec-search_ri,2022-03-06,Mobile devices with full browsers,Display Network,785053006,15131,50,,2022-03-16 18:34:16.892403,929-088-1956
